No,KoreanName,EnglishName,KCD,VCode,Support,UnmatchedReason
1148,RAFIG 증후군,RAFIG syndrome,없음,V900,의료비(급여부분),no_conservative_match
1147,RANBP2 관련 급성 뇌병증,RANBP2 related acute encephalopathy,없음,V900,의료비(급여부분),no_conservative_match
1146,RERE 관련 장애,RERE-related disorders,없음,V900,의료비(급여부분),no_conservative_match
1143,SCN8A 관련 질환,SCN8A related disease,없음,V900,의료비(급여부분),no_conservative_match
1142,SECISBP2 관련 장애,SECISBP2 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1140,SLC6A5 관련 병적놀람증,SLC6A5 related hyperekplexia,없음,V900,의료비(급여부분),no_conservative_match
1139,SLCO2A1 관련 만성 장병증,SLCO2A1 related chronic enteropathy,없음,V900,의료비(급여부분),no_conservative_match
1138,SOX2 관련 장애,SOX2 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1137,STAT3 기능 획득 질환,STAT3 gain of function disease,없음,V900,의료비(급여부분),no_conservative_match
1136,SYNGAP1 관련 지적장애,SYNGAP1-related intellectual disability,없음,V900,의료비(급여부분),no_conservative_match
1135,Schimke 면역-골 형성이상,Schimke immunosseous dysplasia (SIOD),없음,V900,의료비(급여부분),no_conservative_match
1134,Snijders Blok-Campeu 증후군,Snijders Blok-Campeu syndrome,없음,V900,의료비(급여부분),no_conservative_match
1132,Stolerman 신경발달 증후군(KDM6B 관련),Stolerman neurodevelopmental syndrome(KDM6B related),없음,V900,의료비(급여부분),no_conservative_match
1131,T- 및 B-세포수가 감소된 중증복합면역결핍,Severe combined immunodeficiency [SCID] with low T-and B-cell numbers,D81.1,V111,의료비(급여부분),no_conservative_match
1130,TAF1 관련 장애,TAF1 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1129,TAOK1 관련 지적 장애[지적 장애 또는 행동 이상을 동반하거나 동반하지 않는 발달 지연],TAOK1 related intellectual disability[Developmental delay with or without intellectual impairment or behavioral abnormalities],없음,V900,의료비(급여부분),no_conservative_match
1128,TBR1 관련 자폐증과 언어지연을 동반한 지적 발달 지연,TBR1 related intellectual developmental delay with autism and speech delay,없음,V900,의료비(급여부분),no_conservative_match
1127,TFE3 연관 신경발달 장애,TFE3-associated neurodevelopmental disorder,없음,V900,의료비(급여부분),no_conservative_match
1126,THOC2 관련 장애,"Intellectual developmental disorder, X-linked 12",없음,V900,의료비(급여부분),no_conservative_match
1125,"TLK2 관련 지적장애[지적발달장애, 보통염색체 우성 57]","TLK2 related intellectual disability [Intellectual developmental disorder, autosomal dominant 57]",없음,V900,의료비(급여부분),no_conservative_match
1124,TMEM106B 유전자 돌연변이,TMEM106B gene mutation,없음,V900,의료비(급여부분),no_conservative_match
1123,TRIO 관련 대두증을 동반한 지적장애,TRIO related intellectual disability with macrocephaly,없음,V900,의료비(급여부분),no_conservative_match
1122,TRIP12 관련 질환,TRIP12 related disease,없음,V900,의료비(급여부분),no_conservative_match
1121,TRPM3 관련 장애,TRPM3 reIated disorder,없음,V900,의료비(급여부분),no_conservative_match
1120,Townes-Brocks 증후군,Townes-Brocks syndrome,없음,V900,의료비(급여부분),no_primary_specialty
1119,UBTF 관련 신경 변성,UBTF related neurodegeneration,없음,V900,의료비(급여부분),no_conservative_match
1118,Ververi-Brady 증후군,Ververi-Brady syndrome,없음,V900,의료비(급여부분),no_conservative_match
1117,Vici 증후군,Vici syndrome,없음,V900,의료비(급여부분),no_primary_specialty
1116,WAGR 증후군(11번 염색체 단완의 13부분 결손),WAGR syndrome(Deletion 11p13),없음,V900,의료비(급여부분),no_conservative_match
1115,WWOX 관련 장애,WWOX related disorder,없음,V900,의료비(급여부분),no_conservative_match
1113,X 염색체장완의 28부분의 중복 증후군,Chromosome Xq28 duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1112,X-연관 림프증식성 질환,X-linked lymphoproliferative disease,D82.3,V111,의료비(급여부분),name_code_conflict
1111,X-연관 세포사멸사 억제인자 결핍,X-linked inhibitor of apoptosis deficiency,없음,V900,의료비(급여부분),no_conservative_match
1108,X-연관 우성 연골형성이상,X-linked dominant chondrodysplasia,Q77.3,V228,의료비(급여부분),no_conservative_match
1107,X-연관무감마글로불린혈증[브루톤](성장호르몬결핍을 동반),X-linked agammaglobulinaemia [Bruton] (with growth hormone deficiency),D80.0,V111,의료비(급여부분),no_conservative_match
1105,X-연관비늘증; 스테로이드설파타제결핍,X-linked ichthyosis; steroid sulfatase deficiency,Q80.1,V300,의료비(급여부분),no_conservative_match
1104,X연관 정신지체-저긴장성 얼굴증후군,X-linked mental retardation-hypotonic facies syndrome,없음,V900,의료비(급여부분),no_conservative_match
1103,X염색체 단완의 결손 증후군,Xp deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1102,X염색체 단완의 중복 증후군,Xp duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1101,X염색체 장완의 결손 증후군,Xq deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1100,X염색체 장완의 중복 증후군,Xq duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1099,YWHAG 관련 장애,YWHAG related disorder,없음,V900,의료비(급여부분),no_conservative_match
1098,ZBTB18 관련 장애,ZBTB18 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1097,ZSWIM6 관련 신경발달 장애,ZSWIM6 related neurodevelopmental disorders,없음,V900,의료비(급여부분),no_conservative_match
1096,ZTTK 증후군,Zhu-Tokita-Takenouchi-Kim [ZTTK] syndrome,없음,V900,의료비(급여부분),no_conservative_match
1093,"Ⅲ, Ⅳ, Ⅵ, Ⅶ형 점액다당류증","Mucopolysaccharidosis, types Ⅲ, Ⅳ, Ⅵ, Ⅶ",E76.2,V117,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
1092,가부키 증후군,Kabuki syndrome,Q87.0,V900,의료비(급여부분),no_primary_specialty
1089,가성 장 폐쇄,Intestinal pseudo-obstruction,K56.0,V312,의료비(급여부분),no_conservative_match
1086,가족성 운동신경세포병,Familial motor neuron disease,G12.20,V123,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
1085,가족성 저인산혈증,Familial hypophosphataemia,E83.3,V189,의료비(급여부분),no_conservative_match
1084,가족성 저형성빈혈,Familial hypoplastic anaemia,D61.0,V023,의료비(급여부분),no_conservative_match
1082,가족성 칸디다증,Familial candidiasis,없음,V900,의료비(급여부분),no_conservative_match
1081,가족성 혈구탐식세망증,Familial haemophagocytic reticulosis,D76.1,V110,의료비(급여부분),no_conservative_match
1079,각막결막염을(를) 동반한 쉐그렌증후군,Sjogren’s syndrome with keratoconjunctivitis,M35.0,V139,의료비(급여부분),no_conservative_match
1078,간뇌 미토콘드리아 DNA 고갈 증후군,Hepatocerebral mitochondrial DNA depletion syndrome,없음,V900,의료비(급여부분),no_conservative_match
1077,간인산화효소결핍,Liver phosphorylase deficiency,E74.0,V117,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비, 옥수수전분",no_conservative_match
1075,갈락토스대사장애,Disorders of galactose metabolism,E74.2,V117,의료비(급여부분),no_conservative_match
1074,갈락토스혈증,Galactosaemia,E74.2,V117,의료비(급여부분),no_conservative_match
1072,갈로웨이-모왓 증후군,Galloway Mowat syndrome,없음,V900,의료비(급여부분),no_primary_specialty
1071,감마글루타밀회로의 장애,Disorders of γ-glutamyl cycle,E72.8,V117,의료비(급여부분),no_conservative_match
1070,강글리오시드증 NOS,Gangliosidosis NOS,E75.1,V117,의료비(급여부분),no_conservative_match
1069,강직인간증후군,Stiff-person[man] syndrome,G25.8,V900,의료비(급여부분),no_conservative_match
1068,"강직척추염, 경부","Ankylosing spondylitis, cervical region",M45.2,V140,의료비(급여부분),no_conservative_match
1067,"강직척추염, 경흉추부","Ankylosing spondylitis, cervicothoracic region",M45.3,V140,의료비(급여부분),no_conservative_match
1066,"강직척추염, 요천부","Ankylosing spondylitis, lumbosacral region",M45.7,V140,의료비(급여부분),no_conservative_match
1065,"강직척추염, 요추부","Ankylosing spondylitis, lumbar region",M45.6,V140,의료비(급여부분),no_conservative_match
1064,"강직척추염, 척추의 여러 부위","Ankylosing spondylitis, multiple sites in spine",M45.0,V140,의료비(급여부분),no_conservative_match
1063,"강직척추염, 천추 및 천미추부","Ankylosing spondylitis, sacral and sacrococcygeal region",M45.8,V140,의료비(급여부분),no_conservative_match
1062,"강직척추염, 후두환축부","Ankylosing spondylitis, occipito-atlanto-axial region",M45.1,V140,의료비(급여부분),no_conservative_match
1061,"강직척추염, 흉요추부","Ankylosing spondylitis, thoracolumbar region",M45.5,V140,의료비(급여부분),no_conservative_match
1060,"강직척추염, 흉추부","Ankylosing spondylitis, thoracic region",M45.4,V140,의료비(급여부분),no_conservative_match
1059,거대뇌증-다소뇌회증-다지증-수두증 증후군2(AKT3 관련),Megalencephaly-polymicrogyria-polydactyly-hydrocephalus[MPPH] syndrome 2(AKT3 related),없음,V900,의료비(급여부분),no_conservative_match
1058,거대뇌증-모세혈관 기형-다발미세이랑 증후군,Megalencephaly-capillary malformation-polymicrogyria syndrome,없음,V900,의료비(급여부분),no_primary_specialty
1057,거대방광-미세결장-장연동저하 증후군(MMIHS),Megacystis-microcolon-intestinal hypoperistalsis syndrome (MMIHS),없음,V900,의료비(급여부분),no_conservative_match
1055,거의 정상의 면역글로불린 또는 고면역글로불린혈증을 동반한 항체결핍,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,D80.6,V111,의료비(급여부분),no_conservative_match
1053,거짓근긴장증,Pseudomyotonia,G71.1,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
1052,건조증후군[쉐그렌],Sicca syndrome[Sjögren],M35.0,V139,의료비(급여부분),no_conservative_match
1051,결절성 경화증,Tuberous sclerosis,Q85.1,V204,의료비(급여부분),no_primary_specialty
1049,고라이신혈증,Hyperlysinaemia,E72.3,V117,의료비(급여부분),no_conservative_match
1048,고류신-이소류신혈증,Hyperleucine-isoleucinaemia,E71.1,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",no_conservative_match
1046,고린증후군,Gorlin syndrome,없음,V900,의료비(급여부분),no_primary_specialty
1045,고면역글로불린E증후군,Hyperimmunoglobulin E [IgE] syndrome,D82.4,V111,의료비(급여부분),no_conservative_match
1044,고밀도침착병을 동반한 신증후군,Nephrotic syndrome with dense deposit disease,N04.6,V263,의료비(급여부분),no_conservative_match
1043,고발린혈증,Hypervalinaemia,E71.1,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",no_conservative_match
1042,고쉐병,Gaucher’s disease,E75.2,V117,의료비(급여부분),no_conservative_match
1041,고암모니아혈증,Hyperammonaemia,E72.2,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",no_conservative_match
1039,고전적 페닐케톤뇨증,Classical phenylketonuria,E70.0,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",no_conservative_match
1038,고전적 혈우병,Classical haemophilia,D66,V009,의료비(급여부분),no_conservative_match
1037,"고프롤린혈증(Ⅰ, Ⅱ형)","Hyperprolinaemia (typesⅠ, Ⅱ)",E72.5,V117,의료비(급여부분),no_conservative_match
1036,고하이드록시프롤린혈증,Hyperhydroxyprolinaemia,E72.5,V117,의료비(급여부분),no_conservative_match
1035,고함-스타우트 병,Gorham-Stout disease (GSD),없음,V900,의료비(급여부분),no_conservative_match
1034,고호모시스테인혈증,Hyperhomocysteinemia,E72.1,V117,의료비(급여부분),no_conservative_match
1032,골간병적조직연결,Diaphyseal aclasis,Q78.6,V242,의료비(급여부분),no_conservative_match
1031,골덴하 증후군,Goldenhar syndrome,Q87.0,V185,의료비(급여부분),name_code_conflict
1030,골드베르그-쉬프린첸 증후군,Goldberg-Shprintzen syndrome,없음,V900,의료비(급여부분),no_conservative_match
1029,골수형성저하,Medullary hypoplasia,D61.9,V023,의료비(급여부분),no_conservative_match
1028,골취약증,Osteopsathyrosis,Q78.0,V183,의료비(급여부분),no_conservative_match
1028,골취약증,Fragilitas ossium,Q78.0,V183,의료비(급여부분),no_conservative_match
1026,골츠 증후군,Goltz syndrome,Q82.8,V900,의료비(급여부분),no_primary_specialty
1025,골화석증,Osteopetrosis,Q78.2,V229,의료비(급여부분),no_conservative_match
1024,공통가변성 무감마글로불린혈증,Common variable agammaglobulinaemia [CVAgamma],D80.1,V111,의료비(급여부분),no_conservative_match
1021,관상동맥혈관의 기형,Malformation of coronary vessels,Q24.5,V148,의료비(급여부분),no_conservative_match
1020,괴사성 호흡기육아종증,Necrotizing respiratory granulomatosis,M31.3,V135,의료비(급여부분),no_conservative_match
1019,교차증후군,Cross syndrome,E70.3,V117,의료비(급여부분),no_primary_specialty
1018,구리대사장애,Disorders of copper metabolism,E83.0,V119,의료비(급여부분),no_conservative_match
1017,구조적 뇌 이상 및 얼굴이형성증을 동반한 신경발달 장애[RAC3 관련],Neurodevelopmental disorder with structural brain anomalies and dysmorphic facies[RAC3 related],없음,V900,의료비(급여부분),no_conservative_match
1016,구축-발달지연-피에르 로빈 증후군(5장완23 미세결손 증후군),Contractures-developmental delay-Pierre Robin syndrome (5q23 microdeletion syndrome),없음,V900,의료비(급여부분),no_conservative_match
1015,국소적 아밀로이드증,Localized amyloidosis,E85.4,V121,의료비(급여부분),no_conservative_match
1013,굿패스처증후군,Goodpasture’s syndrome,M31.0,V135,의료비(급여부분),no_conservative_match
1012,궤양성 (만성) 범결장염,Ulcerative (chronic) pancolitis,K51.0,V131,의료비(급여부분),no_conservative_match
1011,궤양성 (만성) 직장염,Ulcerative (chronic) proctitis,K51.2,V131,의료비(급여부분),no_conservative_match
1010,귓바퀴-관절돌기 증후군 2,Auriculo-condylar syndrome 2,없음,V900,의료비(급여부분),no_conservative_match
1009,그레이혈소판증후군,Grey platelet syndrome,D69.1,V106,의료비(급여부분),no_conservative_match
1007,근골격계통의 기타 선천기형,Other congenital malformations of musculoskeletal system,Q79.8,V155,의료비(급여부분),no_conservative_match
1006,근골격계통의 상세불명의 선천기형,"Congenital malformation of musculoskeletal system, unspecified",Q79.9,V155,의료비(급여부분),no_conservative_match
1005,근골격계통의 선천변형 NOS,Congenital deformity of musculoskeletal system NOS,Q79.9,V155,의료비(급여부분),no_conservative_match
1004,근골격계통의 선천이상 NOS,Congenital anomaly of musculoskeletal system NOS,Q79.9,V155,의료비(급여부분),no_conservative_match
1003,근긴장디스트로피[스타이너트],Dystrophia myotonica[Steinert],G71.1,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
1002,근긴장이상을 동반한 고망간혈증,Hypermanganesemia with dystonia,없음,V900,의료비(급여부분),no_conservative_match
1001,근긴장장애,Myotonic disorders,G71.1,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
999,근병증을 동반한 전신경화증,Systemic sclerosis with myopathy,M34.8,V138,의료비(급여부분),no_conservative_match
998,근병증을(를) 동반한 쉐그렌증후군,Sjogren’s syndrome with myopathy,M35.0,V139,의료비(급여부분),no_conservative_match
997,근섬유의 특정 형태이상을 동반한 선천성 근디스트로피,Congenital muscular dystrophy with specific morphological abnormalities of the muscle fibre,G71.2,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
996,근섬유형 불균형,Fibre-type disproportion,G71.2,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
995,근세관성 (중심핵성) 근육병증,Myotubular (centronuclear) myopathy,G71.2,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
994,근육의 결여,Absence of muscle,Q79.8,V155,의료비(급여부분),no_conservative_match
993,근육카르니틴팔미틸트란스퍼레이스결핍,Muscle carnitine palmityltransferase deficiency,E71.3,V117,의료비(급여부분),no_conservative_match
992,글라스증후군,Glass syndrome,없음,V900,의료비(급여부분),no_conservative_match
991,글라이신대사장애,Disorders of glycine metabolism,E72.5,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",no_conservative_match
990,글란즈만병,Glanzmann’s disease,D69.1,V106,의료비(급여부분),no_conservative_match
989,글루타르산뇨,Glutaric aciduria,E72.3,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",no_conservative_match
987,글리코젠축적병 1b형 A,Glycogen storage disease 1b type A,E74.0,V117,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비, 옥수수전분",no_conservative_match
986,글리코젠합성효소결핍,Glycogen synthase deficiency,E74.0,V117,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비, 옥수수전분",no_conservative_match
985,급성 간헐성 (간성) 포르피린증,Acute intermittent(hepatic) porphyria,E80.2,V118,의료비(급여부분),no_conservative_match
984,기관 또는 계통 침범을 동반한 전신홍반루푸스,Systemic lupus erythematosus with organ or system involvement,M32.1,V136,의료비(급여부분),no_conservative_match
983,기관한정아밀로이드증,Organ-limited amyloidosis,E85.4,V121,의료비(급여부분),no_conservative_match
982,기면병 및 탈력발작,Narcolepsy and cataplexy,G47.4,V234,의료비(급여부분),no_conservative_match
981,기타 고페닐알라닌혈증,Other hyperphenylalaninaemias,E70.1,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",no_conservative_match
980,기타 궤양성 대장염,Other ulcerative colitis,K51.8,V131,의료비(급여부분),no_conservative_match
978,기타 명시된 다발경화증,Other specified multiple sclerosis,G35.8,V022,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
977,기타 및 복합부위의 사르코이드증,Sarcoidosis of other and combined sites,D86.8,V111,의료비(급여부분),no_conservative_match
974,기타 유전성 척수성 근위축,Other inherited spinal muscular atrophy,G12.1,V123,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
973,기타 응고인자의 유전성 결핍,Hereditary deficiency of other clotting factors,D68.2,V009,의료비(급여부분),no_conservative_match
972,기타 척수성 근위축 및 관련 증후군,Other spinal muscular atrophies and related syndromes,G12.8,V123,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
971,기타 피부근염,Other dermatomyositis,M33.1,V137,의료비(급여부분),no_conservative_match
970,기형을 동반한 범혈구감소증,Pancytopenia with malformations,D61.0,V023,의료비(급여부분),no_conservative_match
969,긴 QT증후군,Long QT syndrome,I49.82,V296,의료비(급여부분),no_conservative_match
964,난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군,3-methylglutaconic aciduria with deafness-encephalopathy-Leigh-like(MEGDEL) syndrome,없음,V900,의료비(급여부분),no_conservative_match
963,낭성 섬유증에서의 태변장폐색,Meconium ileus in cystic fibrosis,E84.1,V120,의료비(급여부분),no_conservative_match
962,내연골종증,Enchondromatosis,Q78.4,V230,의료비(급여부분),no_conservative_match
961,네말린근육병증,Nemaline myopathy,G71.2,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",name_code_conflict
960,네젤로프증후군,Nezelof’s syndrome,D81.4,V111,의료비(급여부분),no_conservative_match
959,넬슨증후군,Nelson’s syndrome,E24.1,V114,의료비(급여부분),no_conservative_match
957,노리에병,Norrie disease,없음,V900,의료비(급여부분),no_primary_specialty
956,노출림프구증후군,Bare lymphocyte syndrome,D81.6,V111,의료비(급여부분),no_conservative_match
955,뇌-폐-갑상선 증후군,Brain-lung-thyroid syndrome,없음,V900,의료비(급여부분),no_primary_specialty
954,뇌간(∼의) 다발경화증,Multiple sclerosis (of) brain stem,G35,V022,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
951,뇌하수체 부신피질자극호르몬의 과다생산,Overproduction of pituitary ACTH,E24.0,V114,의료비(급여부분),no_conservative_match
950,뇌하수체-의존 부신피질기능항진증,Pituitary-dependent hyperadrenocorticism,E24.0,V114,의료비(급여부분),no_conservative_match
949,뇌하수체-의존 쿠싱병,Pituitary-dependent Cushing’s disease,E24.0,V114,의료비(급여부분),no_conservative_match
948,뇌하수체의 양성 신생물,Benign neoplasm of pituitary gland,D35.2,V162,의료비(급여부분),no_conservative_match
947,누난 증후군,Noonan syndrome,Q87.1,V158,의료비(급여부분),no_primary_specialty
946,눈 근디스트로피,Ocular muscular dystrophy,G71.0,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
942,눈피부백색증,Oculocutaneous albinism,E70.3,V117,의료비(급여부분),name_code_conflict
941,니만-피크병,Niemann-Pick’s disease,E75.2,V117,의료비(급여부분),no_conservative_match
934,다발경화증,Multiple sclerosis,G35,V022,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
933,다발경화증 NOS,Multiple sclerosis (of) NOS,G35,V022,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
932,다발계통의 평활근 기능이상 증후군,Multisystemic smooth muscle dysfunction syndrome(MSMDS),없음,V900,의료비(급여부분),no_conservative_match
930,다발미세이랑증,Polymicrogyria,Q04.3,V900,의료비(급여부분),name_code_conflict
929,다발선천외골증,Multiple congenital exostoses,Q78.6,V242,의료비(급여부분),no_conservative_match
928,다발선천이상-근긴장저하-발작 증후군,Multiple congenital anomalies-hypotonia-seizures syndrome,없음,V900,의료비(급여부분),no_primary_specialty
927,다발성 골단 형성이상,Multiple epiphyseal dysplasia,Q77.3,V900,의료비(급여부분),name_code_conflict
926,다발심 병,Multicore disease,G71.2,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
925,다중심성 골용해-결정증-관절병증 [MONA],Multicentric osteolysis- nodulosis-arthropathy [MONA],없음,V900,의료비(급여부분),no_conservative_match
924,다초점 섬유경화증,Multifocal fibrosclerosis,M35.5,V139,의료비(급여부분),no_conservative_match
922,다케노우치-코사키 증후군,Takenouchi-Kosaki syndrome,없음,V900,의료비(급여부분),no_primary_specialty
921,다형핵호중구의 기능장애,Functional disorders of polymorphonuclear neutrophils,D71,V109,의료비(급여부분),no_conservative_match
920,단백질C결핍,Protein C deficiency,D68.5,V900,의료비(급여부분),no_conservative_match
919,단백질S결핍,Protein S deficiency,D68.5,V900,의료비(급여부분),no_conservative_match
917,"단신, 시신경 위축 및 펠거-휴엣 이상 증후군","Short stature, optic atrophy and Pelger-Huët anomaly syndrome",없음,V900,의료비(급여부분),no_conservative_match
916,단안증,Cyclopia,Q87.0,V185,의료비(급여부분),no_conservative_match
915,단일심실,Single ventricle,Q20.4,V225,의료비(급여부분),no_conservative_match
914,단일유전자성 홍반성루푸스,Monogenic lupus erythematosus,없음,V900,의료비(급여부분),no_conservative_match
912,단핵탐식세포의 조직구증,Histiocytoses of mononuclear phagocytes,D76.1,V110,의료비(급여부분),no_conservative_match
911,달리 분류되지 않은 사립체 근육병증,"Mitochondrial myopathy, NEC",G71.3,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
910,담관의 폐쇄,Atresia of bile ducts,Q44.2,V181,의료비(급여부분),no_conservative_match
909,당단백질분해의 결손,Defects in glycoprotein degradation,E77.1,V117,의료비(급여부분),no_conservative_match
908,대결절성 부신증식증,Macronodular adrenal hyperplasia,없음,V900,의료비(급여부분),no_conservative_match
906,대뇌-안구-치아-귀-골격 이상 증후군 [CODAS 증후군],Cerebral-ocular-dental-auricular-skeletal anomaly syndrome [CODAS syndrome],없음,V900,의료비(급여부분),no_conservative_match
905,대뇌건의 콜레스테롤증[밴보게르트-쉐러-엡스타인],Cerebrotendinous cholesterosis [van Bogaert-Scherer-Epstein],E75.5,V117,의료비(급여부분),no_conservative_match
904,대동맥궁증후군[다카야스],Aortic arch syndrome [Takayasu],M31.4,V135,의료비(급여부분),no_conservative_match
903,대동맥의 우측전위,Dextrotransposition of aorta,Q20.3,V144,의료비(급여부분),no_conservative_match
901,"대동맥의 축착(관전, 관후)","Coarctation of aorta (preductal, postductal)",Q25.1,V272,의료비(급여부분),no_conservative_match
900,대동맥의 폐쇄,Atresia of aorta,Q25.2,V272,의료비(급여부분),no_conservative_match
899,대동맥의 협착,Stenosis of aorta,Q25.3,V272,의료비(급여부분),no_conservative_match
898,대동맥중격결손,Aortic septal defect,Q21.4,V269,의료비(급여부분),no_conservative_match
895,대동맥판의 선천성 기능부전,Congenital insufficiency of aortic valve,Q23.1,V147,의료비(급여부분),no_conservative_match
894,대동맥판의 선천협착,Congenital stenosis of aortic valve,Q23.0,V147,의료비(급여부분),no_conservative_match
893,대동맥폐동맥중격결손,Aortopulmonary septal defect,Q21.4,V269,의료비(급여부분),no_conservative_match
892,대동맥폐동맥창,Aortopulmonary window,Q21.4,V269,의료비(급여부분),no_conservative_match
890,대장의 크론병,Crohn’s disease of large intestine,K50.1,V130,의료비(급여부분),no_conservative_match
889,대정맥의 선천성 협착,Congenital stenosis of vena cava,Q26.0,V150,의료비(급여부분),no_conservative_match
888,대혈관의 (완전)전위,Transposition of great vessels (complete),Q20.3,V144,의료비(급여부분),no_conservative_match
887,댄디-워커증후군,Dandy-Walker syndrome,Q03.1,V239,의료비(급여부분),no_conservative_match
885,데제린-소타스병,Déjerine-Sottas disease,G60.0,V169,"의료비(급여부분), 인공호흡기 및 기침유발기",no_conservative_match
884,델타-베타지중해빈혈,Delta-beta thalassaemia,D56.2,V232,의료비(급여부분),no_conservative_match
883,돌발성 운동유발 이상운동,Paroxysmal kinesigenic dyskinesia[PKD],G24.8,V900,의료비(급여부분),no_conservative_match
880,"동인자(Xq)를 제외한 이상 성염색체를 가진 핵형46, X","Karyotype 46, X with abnormal sex chromosome, except iso(Xq)",Q96.2,V021,의료비(급여부분),no_conservative_match
876,두개골의 불완전유합,Imperfect fusion of skull,Q75.0,V265,의료비(급여부분),no_conservative_match
875,두개골의 파젯병,Paget’s disease of skull,M88.0,V213,의료비(급여부분),no_conservative_match
874,두개안면골이골증,Craniofacial dysostosis,Q75.1,V151,의료비(급여부분),no_conservative_match
873,두보위츠 증후군,Dubowitz syndrome,Q87.1,V158,의료비(급여부분),no_primary_specialty
872,"뒤쉔 또는 베커와 유사한 보통염색체열성, 소아형 근디스트로피","Autosomal recessive, childhood type, resembling Duchenne or Becker muscular dystrophy",G71.0,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",no_conservative_match
871,드 랑즈 증후군,De Lange syndrome,Q87.1,V158,의료비(급여부분),no_conservative_match
867,디스트로피성 형성이상,Dystrophic dysplasia,Q77.5,V228,의료비(급여부분),no_conservative_match
866,디죠지증후군,Di George’s syndrome,D82.1,V111,의료비(급여부분),no_conservative_match
865,떨림마비,Paralysis agitans,G20,V124,의료비(급여부분),no_conservative_match
864,라르센 증후군,Larsen’s syndrome,Q74.8,V900,의료비(급여부분),no_conservative_match
863,라만 증후군[태튼-브라운-라만 증후군],Rahman syndrome [Tatton-Brown-Rahman syndrome],없음,V900,의료비(급여부분),no_conservative_match
862,라스무센 뇌염,Rasmussen encephalitis,G04.8,V900,의료비(급여부분),no_conservative_match
861,라이소솜효소의 번역후 수정의 결손,Defects in post-translational modification of lysosomal enzymes,E77.0,V117,의료비(급여부분),no_conservative_match
860,라이신 및 하이드록시라이신 대사장애,Disorders of lysine and hydroxylysine metabolism,E72.3,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",no_conservative_match
859,람베르트-이튼증후군,Lambert-Eaton syndrome,G73.1,V259,의료비(급여부분),no_conservative_match
858,랑거 기드온 증후군,Langer-Giedion syndrome,없음,V900,의료비(급여부분),no_primary_specialty
